,Population,Region,Region2,WolfID,WolfID_2,unpublished.vs.published,Estimation_Method,Date_median,Date_lowerrange,Date_upperrange,Lat,Lat,Long,DOY,originalDOY,originalMatingDate,Annual_Mean_Temperature_bio1,Mean_Diurnal_Range_BIO2,Temperature_Annual_Range_BIO7,Mean_Temperature_of_Wettest_Quarter_BIO8,Mean_Temperature_of_Driest_Quarter_bio9,Mean_Temperature_of_Warmest_Quarter_BIO10,Mean_Temperature_of_Coldest_Quarter_bio11,Annual_Precipitation,Precipitation_Seasonality,day_change_rate_mating,originalMatingDate_5days_before,originalMatingDate_5days_after,daylength_5_days_before,daylength_5_days_after,mating_daylength_change,PC1,PC2,daylength_original_matingdate,mean_ndvi,sd_ndvi
339,Indian,Indian,Indian,Habib-1,,unpublished,Pup sighting - Active den 2 pups sighted of around 25 days old,12/15/15,,,19.0294,19,74.477,46,-14,284,24.42916679,14.02499962,26.50000191,24.01666641,23.09999847,28.55000114,20.71666718,472,91.62480164,0.123942064,279,289,11.71461251,11.53692173,-0.177690782,-5.11999887,-1.999630487,11.62479974,0.329752174,0.133400446
340,Indian,Indian,Indian,Habib-2,,unpublished,Pup sighting - Around 15 days old pup seen carrying by male,12/21/16,,,19.2167,19,74.7191,52,-8,290,25.20000076,13.80000019,26.69999886,24.96666718,23.61666679,29.56666565,21.23333359,494,100.1924744,0.122963025,285,295,11.60287665,11.42877649,-0.174100154,-5.158822407,-2.386112321,11.51451813,0.387421739,0.169361069
34,SaudiArabia,Middle East,Middle East,Zafar-2,,unpublished,four pups were captured on 11 April 2017 (just a few days old) by a shephard and hand reared them in a tent,4/6/17,,,20.719524,20,40.839325,158,98,33,18.34583282,12.07499981,25.09999847,18.11666679,12,24.43333244,12,234,48.62503052,-0.099919505,28,38,11.02827842,11.18024323,0.151964809,-4.073980586,-0.411304804,11.10131362,0.40203913,0.052612164
348,Indian,Indian,Indian,Jhala-1,,unpublished,?,12/30/99,,,22.045096,22,72.046524,59,-1,299,27.57500076,14.09999943,29.39999962,28.81666565,21.91666794,32.26666641,21.91666794,557,142.0054474,0.138177718,294,304,11.35583209,11.16655858,-0.189273511,-5.406234623,-3.811928252,11.25904713,0.3998,0.184908744
349,Indian,Indian,Indian,Jhala-2,,unpublished,?,12/31/99,,,23.49909,23,69.948264,59,-1,300,27.35416794,14.92500019,30.60000038,29.30000114,26.71666718,32.09999847,20.91666603,246,159.9756622,0.147670734,295,305,11.28709327,11.08559302,-0.201500253,-5.607102633,-4.06446234,11.1839628,0.27456087,0.144894014
33,SaudiArabia,Middle East,Middle East,Zafar-1,,unpublished,six wolf pups were captured on 13 March 2012 that were four to five days old,3/9/12,,,24.244004,24,44.767246,129,69,4,25.59583282,14.04166603,34.70000076,25.71666718,34.51666641,34.51666641,15.53333378,153,104.3890305,-0.037064384,-1,9,10.5202426,10.59050072,0.070258121,-5.794233928,-2.458439621,10.54946583,0.052295652,0.005632977
362,Iran,Middle East,Middle East,Alireza-5,,unpublished,Cameratrap,3/19/17,,,29.187506,29,50.803715,140,80,15,22.82916641,12.45833302,32.5,13.0666666,29.95000076,32.03333282,13.0666666,255,124.3176956,-0.085927268,10,20,10.25820719,10.40713262,0.148925425,-5.106388926,-2.114202594,10.32626775,0.153730435,0.051156288
35,SaudiArabia,Middle East,Middle East,Zafar-3,,unpublished,2 pups captured on 18 April 2019 and theese young ones were probably a week old. ,4/11/19,,,30.50946,30,39.169546,162,102,37,20.59583282,14.79166698,37.10000229,15.1833334,30.16666603,30.43333435,9.666666985,68,72.17403412,-0.17132054,32,42,10.57153928,10.82438055,0.252841272,-4.626379715,-1.040759812,10.6939215,0.101730435,0.003534175
382,Iran,Middle East,Middle East,Alireza-25,,unpublished,Cameratrap,4/14/16,4/11/16,4/16/16,31.555701,31,49.815322,165,105,40,22.63750076,15.02499962,39,10.86666679,33.3666687,33.3666687,10.86666679,361,106.3871918,-0.188377683,35,45,10.58604596,10.85952283,0.273476866,-4.847475774,-1.811730095,10.71896407,0.1461,0.046145373
350,Tibetan,Tibetan,Tibetan,Shivam-1,,unpublished,?,5/15/15,,,32.763177,32,78.996561,196,136,71,0.783333302,14.03333378,37.40000153,10.96666718,-4.216666698,11.46666718,-9.866666794,144,48.98101044,-0.235035926,66,76,11.48413992,11.82701305,0.342873133,-0.581756341,0.361283231,11.65479587,0.057986957,0.007125901
370,Iran,Middle East,Middle East,Alireza-13,,unpublished,Cameratrap,5/17/15,,,33.512214,33,49.442302,198,138,73,13.17916679,15.32499981,41.90000153,2.566666603,24.41666603,24.89999962,1.266666651,276,82.93465424,-0.242659733,68,78,11.53917211,11.89315005,0.353977943,-2.798637857,-0.600012648,11.71552698,0.188313043,0.082012046
391,Iran,Middle East,Middle East,Alireza-33,,unpublished,Cameratrap,5/2/21,,,33.524931,33,51.711832,184,124,59,11.11250019,13.09166718,38.40000153,5.100000381,21.81666756,22.39999962,-0.383333355,147,77.2433548,-0.232380651,54,64,11.05898788,11.39926939,0.34028151,-2.509220899,-0.448418321,11.22725057,0.33263913,0.100939837
381,Iran,Middle East,Middle East,Alireza-24,,unpublished,Cameratrap,5/9/16,5/6/16,5/11/16,33.546567,33,47.962233,190,130,65,19.14166641,16.13333321,40.09999847,9.383333206,29.68333435,30.28333282,8.216666222,462,87.14893341,-0.239477819,60,70,11.26077748,11.60900034,0.348222861,-4.13353983,-1.223060827,11.43357401,0.29783913,0.052762674
380,Iran,Middle East,Middle East,Alireza-23,,unpublished,Cameratrap,5/11/15,5/8/15,5/13/15,33.549263,33,48.151527,192,132,67,18.15833282,15.71666622,39.60000229,8.416666985,28.68333435,29.21666718,7.366666794,464,86.54164124,-0.240135795,62,72,11.32945385,11.67967876,0.35022491,-3.849388965,-1.170503636,11.50342795,0.22073913,0.086350121
371,Iran,Middle East,Middle East,Alireza-14,,unpublished,Cameratrap,5/12/16,,,33.589575,33,47.963062,193,133,68,17.20000076,16.11666679,39.79999924,7.566666603,27.70000076,28.21666718,6.616666794,451,85.29291534,-0.241635223,63,73,11.36304996,11.71469146,0.351641504,-3.861816492,-0.903801274,11.5378176,0.214956522,0.026647869
352,Tibetan,Tibetan,Tibetan,Surya-1,,unpublished,?,4/8/17,,,34.099086,34,77.835103,159,99,34,-7.633333206,11.51666641,37.5,3.900000095,-18.61666679,3.916666746,-19.25,119,87.03020477,-0.189064054,30,40,10.30203174,10.58633884,0.284307098,1.326006278,0.051592842,10.43930556,0.034134783,0.07714003
351,Tibetan,Tibetan,Tibetan,Shivam-2,,unpublished,?,5/22/17,,,34.228376,34,77.749256,204,144,79,-6.779166698,10.70833302,37.70000076,5,-18.10000038,5.066666603,-19,111,75.8133316,-0.250622826,74,84,11.74415504,12.10977578,0.365620742,1.542855781,-0.091188686,11.92680551,0.080017391,0.175863492
358,Iran,Middle East,Middle East,Alireza-1,,unpublished,Cameratrap,5/17/16,,,34.678053,34,48.855706,198,138,73,10.9958334,15.40833378,40.40000153,9.100000381,21.78333282,22.35000038,-0.349999994,288,74.91085815,-0.253912001,68,78,11.51849473,11.88836157,0.369866841,-2.622202901,-0.561524556,11.7027729,0.167530435,0.052019292
365,Iran,Middle East,Middle East,Alireza-8,,unpublished,Cameratrap,5/8/16,,,35.227134,35,59.448735,189,129,64,14.3125,13.14166641,37,4.283333302,24.20000076,25.28333282,2.883333445,260,88.1416626,-0.254454375,59,69,11.17618007,11.54602292,0.369842849,-3.4027655,-0.542113783,11.35962671,0.118582609,0.019728859
364,Iran,Middle East,Middle East,Alireza-7,,unpublished,Cameratrap,3/31/16,,,35.251073,35,59.496624,151,91,26,13.72500038,13.14999962,36.70000076,3.800000191,23.56666756,24.58333397,2.466666698,262,86.56666565,-0.172347892,21,31,9.998185542,10.25396423,0.255778689,-3.273502062,-0.455660177,10.11959427,0.137813043,0.027005122
374,Iran,Middle East,Middle East,Alireza-17,,unpublished,Cameratrap,3/12/16,,,35.267439,35,57.927993,132,72,7,18.21666718,12.98333359,38.10000229,7.983333111,28.39999962,29.70000076,6.099999905,202,95.84545898,-0.078832245,2,12,9.680091209,9.81590626,0.135815051,-4.178495825,-1.136605082,9.738814094,0.0783,0.007927455
359,Iran,Middle East,Middle East,Alireza-2,,unpublished,Cameratrap,5/30/16,,,35.326401,35,48.285241,211,151,86,9.879166603,15.45833302,42.29999924,3.183333397,21.26666641,21.79999924,-2.283333302,333,74.2771759,-0.261117956,81,91,12,12.38019733,0.380197331,-2.309839759,-0.215081417,12.19051222,0.121108696,0.043649596
368,Iran,Middle East,Middle East,Alireza-11,,unpublished,Cameratrap,3/19/18,,,36.097772,36,49.127906,139,79,14,9.458333015,13.80000019,39.09999847,7.783333302,20.29999924,20.85000038,-2.216666698,285,74.12442017,-0.114371032,9,19,9.696020004,9.887082693,0.191062689,-2.237051908,-0.457658653,9.782980605,0.176473913,0.092625822
378,Iran,Middle East,Middle East,Alireza-21,,unpublished,Cameratrap,5/15/20,5/9/20,5/19/20,36.237397,36,59.557637,196,136,71,12.02499962,13.6833334,36.90000153,5.900000095,22.03333282,22.75,1.416666508,293,78.17642975,-0.268264648,66,76,11.41238875,11.80299179,0.390603048,-2.929708167,-0.348948324,11.60683046,0.136808696,0.043081434
379,Iran,Middle East,Middle East,Alireza-22,,unpublished,Cameratrap,6/9/20,,,36.278128,36,59.488121,221,161,96,11.57083321,13.40833378,36.90000153,5.416666508,21.63333321,22.28333282,0.949999988,304,77.2048111,-0.266924989,91,101,12.39375658,12.78057662,0.386820041,-2.87156658,-0.253535841,12.58848957,0.149121739,0.033675186
367,Iran,Middle East,Middle East,Alireza-10,,unpublished,Cameratrap,4/28/20,,,36.293595,36,48.476716,179,119,54,10.67083359,14.49166679,39.39999771,8.783332825,21.23333359,21.73333359,-0.650000036,304,70.17770386,-0.254209261,49,59,10.77467938,11.14306322,0.368383834,-2.590675873,-0.369674501,10.95627003,0.126934783,0.045787063
373,Iran,Middle East,Middle East,Alireza-16,,unpublished,Cameratrap,3/31/16,,,36.474152,36,52.101252,151,91,26,16.30833435,7.733333111,27,13.11666679,22.73333359,25.20000076,7.699999809,894,58.73473358,-0.18084206,21,31,9.903793324,10.17212957,0.268336246,-3.753295239,-0.43880964,10.03119092,0.731795652,0.131161904
375,Iran,Middle East,Middle East,Alireza-18,,unpublished,Cameratrap,4/30/16,,,36.635752,36,48.489148,181,121,56,11.16250038,13.79166698,37,8.916666985,21.10000038,21.70000076,0.700000048,297,67.9359436,-0.260119105,51,61,10.83200013,11.20912567,0.377125533,-2.751615161,-0.272453891,11.01817181,0.131882609,0.049862016
383,Iran,Middle East,Middle East,Alireza-26,,unpublished,Cameratrap,3/1/12,,,36.70919,36,55.658816,121,61,361,14.38333321,12.61666679,36,8.666666985,24.58333397,25.16666794,2.916666746,252,71.47685242,-0.006839982,356,366,9.485826536,9.539591352,0.053764816,-3.51722824,-0.364887955,9.50204105,0.109295652,0.006257975
372,Iran,Middle East,Middle East,Alireza-15,,unpublished,Cameratrap,5/8/15,,,37.036058,37,46.291049,189,129,64,13.0583334,12.64999962,38.70000076,11.73333359,24.38333321,24.86666679,1.150000095,367,72.68490601,-0.271275558,59,69,11.11945929,11.51485967,0.395400377,-3.032802236,-0.797393478,11.31561149,0.218226087,0.077920934
387,Iran,Middle East,Middle East,Alireza-29,,unpublished,Cameratrap,6/9/15,6/5/15,6/12/15,37.622918,37,45.194445,221,161,96,10.45416641,12.34166718,37.59999847,9.050000191,21.41666603,21.70000076,-1.166666627,337,65.3781662,-0.280893337,91,101,12.41349345,12.81981247,0.406319024,-2.535582838,-0.2959322,12.61802213,0.156134783,0.075052222
369,Iran,Middle East,Middle East,Alireza-12,,unpublished,Cameratrap,4/5/15,,,38.299245,38,48.113387,156,96,31,8.375,12.16666698,35.59999847,7.616666317,17.58333397,17.63333321,-2.066666842,354,45.99734497,-0.211150315,26,36,9.893392763,10.20852498,0.31513222,-1.678098681,0.16506068,10.04464242,0.3715,0.18594002
