name,latitude,longitude
Yellowstone_62,44.3805,-110.1644
Yellowstone_62,44.3805,-110.1644
Yellowstone_63,44.3805,-110.1644
Yellowstone_63,44.3805,-110.1644
Yellowstone_64,44.3805,-110.1644
Yellowstone_64,44.3805,-110.1644
Yellowstone_65,44.3805,-110.1644
Yellowstone_65,44.3805,-110.1644
Yellowstone_66,44.3805,-110.1644
Yellowstone_66,44.3805,-110.1644
Yellowstone_67,44.3805,-110.1644
Yellowstone_67,44.3805,-110.1644
Yellowstone_68,44.3805,-110.1644
Yellowstone_68,44.3805,-110.1644
Yellowstone_68,44.3805,-110.1644
Yellowstone_68,44.3805,-110.1644
Yellowstone_68,44.3805,-110.1644
Yellowstone_69,44.3805,-110.1644
Yellowstone_69,44.3805,-110.1644
Yellowstone_70,44.3805,-110.1644
Yellowstone_70,44.3805,-110.1644
Yellowstone_70,44.3805,-110.1644
Yellowstone_71,44.3805,-110.1644
Yellowstone_72,44.3805,-110.1644
Yellowstone_73,44.3805,-110.1644
Yellowstone_73,44.3805,-110.1644
