"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8"
"34",-5.1962220929979,-1.91617600884334,-0.231252957946523,-0.14796463070947,0.115907860992927,0.102324216242138,-0.149983413638226,0.0341952752027191
"35",-5.17572208030159,-1.91302909727486,-0.311448907991837,-0.22265287444383,0.10517771264249,0.100372892124632,-0.124699384811615,0.0362275587629077
"36",-5.17572208030159,-1.91302909727486,-0.311448907991837,-0.22265287444383,0.10517771264249,0.100372892124632,-0.124699384811615,0.0362275587629077
"37",-5.3083485823048,-2.0203869114649,-0.110052443955048,-0.0765298426679337,0.0375487994424319,0.109832835940619,-0.154045266110853,0.035789303376017
"38",-5.03651665262173,-2.10710503213177,-0.337352477095167,-0.421644899220843,0.0863271289830512,0.122197157915521,-0.136366497842611,0.0305048068132045
"39",-5.16520903018381,-2.18292792199961,-0.17896056975285,-0.337296221876726,0.114251710887015,0.120821503638636,-0.120300193461638,0.0277467060455124
"40",-5.1199988697936,-1.99963048683064,-0.0269129392285637,-0.116885003534586,0.0654308981617693,0.128689011509805,-0.16312834138319,0.0368901728781955
"41",-5.15882240693308,-2.38611232100533,-0.11316022940667,-0.393562423299902,0.220676479434075,0.138576441311567,-0.106014851252873,0.0174671080819201
"42",-4.07398058601339,-0.411304803932962,-0.114950657981064,0.93872558341585,-0.645931325390335,0.223576162572741,0.145675065177618,-0.0063485739924991
"43",-5.40623462290717,-3.81192825183734,0.357602370637194,-0.483699119834,0.859527200023905,0.277619428776626,-0.147999583096836,-0.100207946515223
"44",-5.60710263271521,-4.0644623402063,0.932712084837358,-0.348085402016668,1.24878111382581,0.0269904318141151,-0.308901647959569,-0.12415362524459
"45",-5.79423392830753,-2.45843962147915,1.79218990759567,0.0184447548661661,-0.474784573285077,-0.320431827045423,0.0898083248529831,0.0379632069433758
"46",-5.10638892642149,-2.11420259383369,1.90343087310956,-0.24753720004748,0.799400058177139,0.213022251473398,0.405464080114292,-0.136022571512183
"47",-4.6263797145077,-1.04075981239383,1.8957125488007,0.000880249282446249,-0.816860832085706,-0.078163886551772,0.210655818728497,0.0329516068514852
"48",-4.84747577409267,-1.81173009461319,2.42344586921029,-0.668877304883916,0.0227441452356212,0.221221983706926,0.435864248829862,-0.0753096371314075
"49",-0.581756340971429,0.361283231319219,1.0755786232631,2.08396509450801,-0.299628804236707,-0.154116357838612,-0.468651312931514,0.0572382798333196
"50",-2.79863785724434,-0.600012648471804,2.27136261420077,-0.478073847594209,0.0893133551543731,0.198570149613175,0.231215793743768,-0.0313918538803322
"51",-2.50922089934575,-0.448418320558186,1.69512599163989,-0.200345291360864,0.183564336051173,-0.0626652052177306,0.169854883336958,-0.0300227052069667
"52",-4.13353982975934,-1.22306082692939,2.22107565501996,-0.524423386411201,-0.294560111886461,0.18345065928492,0.3131726491586,0.0227008466703048
"53",-3.84938896524073,-1.17050363561622,2.00271661747712,-0.673718478515212,-0.155954195070495,0.176664075221335,0.321316721697948,0.00916170287464502
"54",-3.8618164916341,-0.903801273617857,2.31647510986427,-0.211914902670267,-0.169472558154553,0.180727372820685,0.227484195209447,0.0264177114725789
"55",1.32600627779552,0.0515928420899815,1.08098837574431,2.42092475153543,1.40299826630322,0.0570212768053148,-0.573404045743662,-0.128979249514086
"56",1.54285578069207,-0.0911886862420481,0.455109816875022,1.68209317835452,1.08910324893157,0.0433735755427615,-0.400820760472592,-0.132272156162749
"57",-2.62220290139262,-0.561524556333467,1.94912441961823,0.180037036462346,-0.170926949589054,-0.216201017730393,-0.061334921516088,0.0539729567891251
"58",-3.4027654997617,-0.542113782944021,2.21205981189029,0.141992615392756,0.31983487655692,0.137502411128806,0.300044545579739,-0.0805747497404444
"59",-3.27350206192704,-0.455660177102461,2.12876905661312,0.142932199851531,0.358309042615042,0.131496245525281,0.284536275565928,-0.080956111033403
"60",-4.17849582534215,-1.13660508167938,2.44783420265183,-0.070425473846582,0.069993066759674,0.147962394504732,0.419556499208218,-0.0698949413395039
"61",-2.30983975913837,-0.215081416522203,2.32497916749296,0.0686696184875954,-0.0413533400069502,0.00139420622901115,0.0426900992464636,0.00561391555221929
"62",-2.23705190773583,-0.457658653008356,1.64310818717898,0.0514734063767803,0.0476442290287726,-0.26704160382702,-0.00219524076748479,0.0104103582342745
"63",-2.92970816722922,-0.348948324380193,1.85145229189075,0.22031406363546,0.174717706757551,-0.0353222009331305,0.120130572400009,-0.0123544567210294
"64",-2.87156658037161,-0.253535841316139,1.89548904145801,0.309171764009737,0.184376870420141,-0.0382815754663662,0.102002826145097,-0.0132086722472417
"65",-2.59067587321344,-0.369674500884376,1.84613861774908,0.286572410207186,-0.206140974180672,-0.235681534059745,-0.0554460836270564,0.0417386336250641
