,Population,Region,Region2,Region3,DenID,unpublished.vs.published,unpublished.vs.published2,Estimation_Method,Study,Date_median,Date_lowerrange,Date_upperrange,Lat,Long,Lat_lowerrange,Lat_upperrange,DOY,DOY_lowerrange,DOY_upperrange,Originaldataset
82,Alaska-Canada,NorthAmerica,NorthAmerica,NorthAmerica,Alaska-1,unpublished,21,GPS location of collared wolves and site vertification on the ground with trail cameras,,4/21/16,,,55.75,-132.52,,,172,,,yes
83,Alaska-Canada,NorthAmerica,NorthAmerica,NorthAmerica,Alaska-2,unpublished,21,GPS location of collared wolves and site vertification on the ground with trail cameras,,4/28/13,,,55.87,-133.09,,,180,,,yes
84,Alaska-Canada,NorthAmerica,NorthAmerica,NorthAmerica,Alaska-3,unpublished,21,GPS location of collared wolves and site vertification on the ground with trail cameras,,4/20/17,,,55.75,-132.52,,,172,,,yes
85,Alaska-Canada,NorthAmerica,NorthAmerica,NorthAmerica,Alaska-4,unpublished,21,GPS location of collared wolves and site vertification on the ground with trail cameras,,5/9/14,,,55.76,-132.7,,,190,,,yes
86,Alaska-Canada,NorthAmerica,NorthAmerica,NorthAmerica,Alaska-5,unpublished,21,GPS location of collared wolves and site vertification on the ground with trail cameras,,5/3/18,,,58.91,-134.92,,,184,,,yes
87,Alaska-Canada,NorthAmerica,NorthAmerica,NorthAmerica,Alaska-6,unpublished,21,GPS location of collared wolves and site vertification on the ground with trail cameras,,5/5/19,,,58.91,-134.92,,,186,,,yes
88,Alaska-Canada,NorthAmerica,NorthAmerica,NorthAmerica,Alaska-7,unpublished,21,GPS location of collared wolves and site vertification on the ground with trail cameras,,5/2/19,,,58.85,-134.81,,,183,,,yes
89,Alaska-Canada,NorthAmerica,NorthAmerica,NorthAmerica,Alaska-8,unpublished,21,GPS location of collared wolves and site vertification on the ground with trail cameras,,4/27/20,,,55.43,-131.38,,,178,,,yes
90,Alaska-Canada,NorthAmerica,NorthAmerica,NorthAmerica,Mahoney-1,unpublished,21,GPS,,5/16/03,,,62.408363,-146.81178,,,197,,,yes
91,Alaska-Canada,NorthAmerica,NorthAmerica,NorthAmerica,Mahoney-2,unpublished,21,GPS,,5/10/01,,,62.408363,-146.81178,,,192,,,yes
92,Alaska-Canada,NorthAmerica,NorthAmerica,NorthAmerica,Mahoney-3,unpublished,21,GPS,,5/19/05,,,62.408363,-146.81178,,,201,,,yes
93,Alaska-Canada,NorthAmerica,NorthAmerica,NorthAmerica,Mahoney-4,unpublished,21,GPS,,5/12/01,,,62.408363,-146.81178,,,194,,,yes
94,Alaska-Canada,NorthAmerica,NorthAmerica,NorthAmerica,Mahoney-4,unpublished,21,GPS,,4/7/02,,,62.408363,-146.81178,,,158,,,yes
95,Alaska-Canada,NorthAmerica,NorthAmerica,NorthAmerica,Mahoney-5,unpublished,21,GPS,,4/23/05,,,62.408363,-146.81178,,,175,,,yes
